"theta","posterior_density","posterior_mass"
35.9359359359359,1.38853592922647e-11,1.38992585508155e-12
36.036036036036,1.46312907827279e-11,1.46459367194473e-12
36.1361361361361,1.54215567405061e-11,1.54369937342404e-12
36.2362362362362,1.62590484735097e-11,1.62753237973071e-12
36.3363363363363,1.71468627579057e-11,1.71640267846904e-12
36.4364364364364,1.80883176552945e-11,1.8106424079374e-12
36.5365365365365,1.90869696422044e-11,1.91060757179224e-12
36.6366366366366,2.01466321687354e-11,2.01667989677031e-12
36.7367367367367,2.1271395774298e-11,2.12926884627608e-12
36.8368368368368,2.24656499006399e-11,2.24881380386786e-12
36.9369369369369,2.37341065558414e-11,2.37578644202617e-12
37.037037037037,2.5081825997839e-11,2.51069329307698e-12
37.1371371371371,2.65142446224458e-11,2.65407854078537e-12
37.2372372372372,2.80372052589423e-11,2.80652705294718e-12
37.3373373373373,2.96569900963202e-11,2.96866767730934e-12
37.4374374374374,3.13803564853533e-11,3.1411768253607e-12
37.5375375375375,3.32145758861034e-11,3.32478237098132e-12
37.6376376376376,3.51674762574933e-11,3.52026789364298e-12
37.7377377377377,3.72474882154927e-11,3.72847729884813e-12
37.8378378378378,3.94636953195829e-11,3.9503198518101e-12
37.9379379379379,4.18258888838794e-11,4.186775664052e-12
38.038038038038,4.4344627749985e-11,4.43890167667518e-12
38.1381381381381,4.70313035037995e-11,4.70783818856853e-12
38.2382382382382,4.98982116686353e-11,4.99481598284638e-12
38.3383383383383,5.29586294626628e-11,5.30116411037667e-12
38.4384384384384,5.6226900770594e-11,5.62831839545486e-12
38.5385385385385,5.97185290483342e-11,5.977830735569e-12
38.6386386386386,6.34502789559225e-11,6.35137927486713e-12
38.7387387387387,6.74402875993796e-11,6.75077953947745e-12
38.8388388388388,7.17081863571213e-11,7.17799663234448e-12
38.9389389389389,7.62752343725811e-11,7.63515859585398e-12
39.039039039039,8.11644649129327e-11,8.12457106235564e-12
39.1391391391391,8.64008459258476e-11,8.64873332591069e-12
39.2392392392392,9.20114562737545e-11,9.21035598335882e-12
39.3393393393393,9.80256792900093e-11,9.81238030931026e-12
39.4394394394394,1.04475415485975e-10,1.04579995481457e-11
39.5395395395395,1.11395316444638e-10,1.11506823267907e-11
39.6396396396396,1.18823042167979e-10,1.18941984152131e-11
39.7397397397397,1.26799544404933e-10,1.26926470875809e-11
39.8398398398398,1.35369378778188e-10,1.3550488366185e-11
39.9399399399399,1.4458104885522e-10,1.4472577462985e-11
40.04004004004,1.54487385676727e-10,1.54642027704432e-11
40.1401401401401,1.65145966669197e-10,1.65311277947144e-11
40.2402402402402,1.76619578333856e-10,1.76796374708564e-11
40.3403403403403,1.88976727628673e-10,1.89165893522196e-11
40.4404404404404,2.02292207551253e-10,2.02494702253507e-11
40.5405405405405,2.16647723097548e-10,2.16864587685234e-11
40.6406406406406,2.32132584524528e-10,2.32364949474003e-11
40.7407407407407,2.48844475696276e-10,2.49093569265542e-11
40.8408408408408,2.66890306255853e-10,2.67157463719573e-11
40.9409409409409,2.86387157455478e-10,2.86673831286766e-11
41.041041041041,3.07463332712697e-10,3.07771103816514e-11
41.1411411411411,3.30259525361053e-10,3.3059011547653e-11
41.2412412412412,3.54930117653897e-10,3.55285403056955e-11
41.3413413413413,3.81644626886435e-10,3.82026653539975e-11
41.4414414414414,4.10589316555523e-10,4.11000316872396e-11
41.5415415415415,4.41968992815035e-10,4.42411404219255e-11
41.6416416416416,4.76009009148811e-10,4.76485494643456e-11
41.7417417417417,5.12957505221413e-10,5.13470976197611e-11
41.8418418418418,5.53087909335282e-10,5.53641550886169e-11
41.9419419419419,5.96701737885819e-10,5.97299036922743e-11
42.042042042042,6.44131729739269e-10,6.44776506245515e-11
42.1421421421421,6.9574535864843e-10,6.9644180044888e-11
42.2422422422422,7.51948772770528e-10,7.52701474244774e-11
42.3423423423423,8.1319121717738e-10,8.14005222399781e-11
42.4424424424424,8.79970003088758e-10,8.80850853942702e-11
42.5425425425425,9.52836096575231e-10,9.53789886461695e-11
42.6426426426426,1.03240040985523e-09,1.03343384369893e-10
42.7427427427427,1.11934089027141e-09,1.12046135162303e-10
42.8428428428428,1.21441051583091e-09,1.21562614197289e-10
42.942942942943,1.31844632213372e-09,1.31976608822195e-10
43.043043043043,1.43237960394712e-09,1.43381341736449e-10
43.1431431431431,1.55724745602778e-09,1.55880626229007e-10
43.2432432432432,1.69420584253547e-09,1.69590174427975e-10
43.3433433433433,1.8445444131017e-09,1.84639080390561e-10
