"alpha0","beta"
22.5301204819277,-0.402409638554217
23.4939759036145,-0.402409638554217
22.5301204819277,-0.955823293172691
28.7951807228916,-1.82248995983936
22.85140562249,-1.12289156626506
25.9036144578313,-0.099598393574297
25.1004016064257,-1.5718875502008
23.3333333333333,-0.809638554216867
26.2248995983936,-1.66586345381526
24.136546184739,-1.48835341365462
23.8152610441767,-0.861847389558233
25.2610441767068,0.391164658634538
26.8674698795181,-0.266666666666667
27.9919678714859,-0.120481927710843
21.8875502008032,-0.266666666666667
25.9036144578313,-1.36305220883534
22.3694779116466,-0.371084337349397
25.5823293172691,-0.579919678714859
26.0642570281125,-1.12289156626506
25.421686746988,-0.861847389558233
24.9397590361446,-1.55100401606426
22.6907630522088,-0.767871485943775
21.7269076305221,-1.15421686746988
26.0642570281125,-1.43614457831325
27.0281124497992,-1.4570281124498
24.2971887550201,-1.56144578313253
26.3855421686747,-0.799196787148594
22.5301204819277,-1.5718875502008
25.7429718875502,-1.8433734939759
23.9759036144578,-0.882730923694779
25.7429718875502,-1.12289156626506
24.2971887550201,-1.03935742971888
26.5461847389558,-0.809638554216867
24.6184738955823,-0.799196787148594
25.1004016064257,-0.799196787148594
19.1566265060241,-0.0265060240963855
23.6546184738956,-0.569477911646586
24.9397590361446,-1.12289156626506
20.281124497992,0.0883534136546187
26.3855421686747,-1.50923694779116
26.5461847389558,-1.13333333333333
23.3333333333333,-0.736546184738956
23.1726907630522,-0.809638554216867
26.0642570281125,-1.12289156626506
23.0120481927711,-0.214457831325301
26.5461847389558,0.130120481927711
23.3333333333333,-1.17510040160643
24.136546184739,-1.63453815261044
25.7429718875502,-0.98714859437751
24.2971887550201,-0.256224899598393
24.7791164658635,-0.579919678714859
25.5823293172691,-0.371084337349397
24.7791164658635,-1.39437751004016
24.136546184739,-0.788755020080321
22.85140562249,-1.3421686746988
24.9397590361446,-0.757429718875502
24.9397590361446,-0.527710843373494
22.2088353413655,-0.485943775100401
24.9397590361446,-0.579919678714859
23.4939759036145,-1.12289156626506
23.8152610441767,-1.14377510040161
23.9759036144578,-0.454618473895582
23.8152610441767,-0.559036144578313
24.7791164658635,-1.89558232931727
23.1726907630522,-0.423293172690763
26.8674698795181,-1.49879518072289
27.6706827309237,-1.50923694779116
26.3855421686747,-1.19598393574297
25.421686746988,-1.26907630522088
22.0481927710843,-0.506827309236948
20.6024096385542,-0.673895582329317
22.85140562249,-0.224899598393574
26.2248995983936,-0.214457831325301
24.7791164658635,-1.09156626506024
24.136546184739,-0.465060240963855
27.9919678714859,-1.89558232931727
24.2971887550201,-0.778313253012048
24.2971887550201,-0.559036144578313
26.8674698795181,-1.71807228915663
24.6184738955823,-0.663453815261044
24.9397590361446,-1.48835341365462
24.136546184739,-1.67630522088353
25.421686746988,-0.663453815261044
23.0120481927711,-1.19598393574297
24.2971887550201,-0.98714859437751
22.2088353413655,-1.3004016064257
27.3493975903614,-1.31084337349398
24.6184738955823,-1.54056224899598
22.2088353413655,-0.569477911646586
25.7429718875502,-0.089156626506024
22.0481927710843,-0.00562248995983916
24.9397590361446,-1.01847389558233
25.421686746988,-0.934939759036144
27.8313253012048,-0.600803212851406
23.0120481927711,-1.98955823293173
24.2971887550201,-0.454618473895582
27.1887550200803,-0.767871485943775
23.3333333333333,-0.569477911646586
24.136546184739,-0.82008032128514
