"year","lambda","y_star"
1986,14.4931726907631,15
1986,16.0642570281125,16
1986,25.2192771084337,21
1986,17.0008032128514,17
1986,18.2682730923695,17
1986,21.9341365461847,25
1986,16.5333333333333,22
1986,18.9815261044177,16
1986,22.595983935743,29
1986,22.8626506024096,11
1986,17.7012048192771,26
1986,17.9469879518072,14
1986,21.5357429718876,23
1986,20.8803212851406,10
1986,23.8425702811245,28
1986,11.6032128514056,9
1986,19.4136546184739,10
1986,17.0586345381526,21
1986,16.4305220883534,15
1986,20.4819277108434,20
1986,15.3718875502008,15
1986,20.5060240963855,15
1986,14.7823293172691,20
1986,12.5301204819277,12
1986,17.6465863453815,14
1986,19.5325301204819,23
1986,18.3277108433735,16
1986,18.4899598393574,23
1986,19.7943775100402,17
1986,20.6024096385542,31
1986,19.5951807228916,24
1986,12.6200803212851,11
1986,23.0104417670683,21
1986,21.6722891566265,25
1986,21.2016064257028,27
1986,20.0899598393574,11
1986,19.6674698795181,18
1986,19.1180722891566,19
1986,18.9574297188755,15
1986,18.9622489959839,19
1986,18.8128514056225,18
1986,20.689156626506,14
1986,19.4971887550201,13
1986,25.1919678714859,23
1986,15.3076305220884,13
1986,21.6224899598394,24
1986,22.7646586345382,14
1986,19.4120481927711,18
1986,17.9951807228916,19
1986,21.2176706827309,22
1986,20.0706827309237,20
1986,13.1277108433735,15
1986,17.3767068273092,13
1986,17.2112449799197,12
1986,16.5092369477912,19
1986,19.7606425702811,24
1986,16.3935742971888,13
1986,18.6120481927711,19
1986,17.3526104417671,17
1986,18.6345381526104,9
1986,16.1156626506024,14
1986,16.6682730923695,16
1986,14.8690763052209,12
1986,17.5903614457831,20
1986,23.5919678714859,24
1986,21.7156626506024,20
1986,16.8722891566265,17
1986,19.2995983935743,13
1986,20.3244979919679,17
1986,17.7767068273092,13
1986,25.9052208835341,25
1986,16.7132530120482,18
1986,20.2168674698795,14
1986,14.8417670682731,10
1986,12.9943775100402,13
1986,19.6979919678715,24
1986,18.5638554216867,22
1986,16.4626506024096,20
1986,23.9084337349398,37
1986,18.1943775100402,15
1986,20.4096385542169,21
1986,15.4650602409639,13
1986,19.8827309236948,18
1986,22.5028112449799,18
1986,17.7269076305221,18
1986,22.9638554216867,23
1986,21.089156626506,21
1986,18.1204819277108,20
1986,18.7020080321285,18
1986,13.6208835341365,7
1986,18.8401606425703,19
1986,15.5277108433735,10
1986,21.1244979919679,20
1986,21.9855421686747,27
1986,13.4795180722892,13
1986,19.2048192771084,16
1986,18.9670682730924,16
1986,17.6224899598394,16
1986,17.3879518072289,13
1986,17.6771084337349,25
1986,24.1429718875502,15
1986,19.0441767068273,24
1986,15.2417670682731,21
1986,26.5654618473896,29
1986,19.336546184739,17
1986,21.7863453815261,25
1986,27.3606425702811,26
1986,18.4819277108434,18
1986,22.1493975903614,22
1986,18.9253012048193,18
1986,13.8666666666667,12
1986,15.5132530120482,14
1986,24.8016064257028,19
1986,19.5373493975904,15
1986,24.2329317269076,22
1986,21.0393574297189,23
1986,18.2489959839357,18
1986,24.4353413654618,22
1986,16.9477911646586,16
1986,25.7991967871486,23
1986,13.8120481927711,10
1986,20.9526104417671,15
1986,15.2481927710843,14
1986,15.1823293172691,11
1986,17.6626506024096,18
1986,15.7349397590361,15
1986,17.3670682730924,13
1986,16.9879518072289,18
1986,18.110843373494,20
1986,18.3052208835341,14
1986,16.6939759036145,14
1986,17.2497991967872,12
1986,17.8136546184739,17
1986,24.740562248996,26
1986,15.6128514056225,16
1986,17.1566265060241,10
1986,24.1429718875502,29
1986,17.0522088353414,20
1986,19.4200803212851,13
1986,15.3799196787149,13
1986,15.1935742971888,12
1986,17.1694779116466,22
1986,22.45140562249,22
1986,20.2586345381526,22
1986,14.4706827309237,13
1986,17.8072289156627,16
1986,16.2843373493976,21
1986,22.0353413654618,29
1986,16.4080321285141,22
1986,18.8433734939759,21
1986,23.4730923694779,27
1986,15.1598393574297,17
1986,19.6,16
1986,19.9293172690763,24
1986,18.655421686747,16
1986,24.4626506024096,20
1986,16.7453815261044,19
1986,19.2240963855422,22
1986,21.5020080321285,22
1986,17.8281124497992,23
1986,14.6152610441767,17
1986,18.3919678714859,25
1986,22.7678714859438,33
1986,20.8947791164659,24
1986,20.425702811245,21
1986,20.774297188755,23
1986,20.5542168674699,22
1986,22.9253012048193,29
1986,18.3004016064257,22
1986,14.7228915662651,14
1986,15.6674698795181,14
1986,21.5646586345382,14
1986,23.1983935742972,21
1986,13.881124497992,17
1986,20.2763052208835,21
1986,18.3196787148594,20
1986,19.1116465863454,21
1986,18.4642570281124,14
1986,16.85140562249,13
1986,19.1020080321285,21
1986,16.9991967871486,20
1986,18.9975903614458,19
1986,16.9397590361446,18
1986,15.2176706827309,16
1986,18.9622489959839,19
1986,23.1453815261044,17
1986,25.6658634538153,24
1986,14.6506024096386,15
1986,15.378313253012,16
1986,19.3461847389558,12
1986,20.6698795180723,23
1986,12.3228915662651,13
1986,21.4120481927711,15
1986,17.9550200803213,17
1986,16.4771084337349,25
