"alpha0","beta","posterior_mass"
13.3734939759036,-1.97911646586345,2.65237509128434e-30
13.5341365461847,-1.97911646586345,2.57094041754994e-29
13.6947791164659,-1.97911646586345,2.28111719138465e-28
13.855421686747,-1.97911646586345,1.86239357646586e-27
14.0160642570281,-1.97911646586345,1.40573835763615e-26
14.1767068273092,-1.97911646586345,9.85123759807395e-26
14.3373493975904,-1.97911646586345,6.43434229204421e-25
14.4979919678715,-1.97911646586345,3.9307017449475e-24
14.6586345381526,-1.97911646586345,2.25311936645073e-23
14.8192771084337,-1.97911646586345,1.21542385509051e-22
14.9799196787149,-1.97911646586345,6.18701069526684e-22
15.140562248996,-1.97911646586345,2.97943380956878e-21
15.3012048192771,-1.97911646586345,1.36049314519525e-20
15.4618473895582,-1.97911646586345,5.90346247885666e-20
15.6224899598394,-1.97911646586345,2.43915015278e-19
15.7831325301205,-1.97911646586345,9.61405616188917e-19
15.9437751004016,-1.97911646586345,3.62137468180881e-18
16.1044176706827,-1.97911646586345,1.3057297306853e-17
16.2650602409639,-1.97911646586345,4.51353497027303e-17
16.425702811245,-1.97911646586345,1.49794129503475e-16
16.5863453815261,-1.97911646586345,4.77948935309448e-16
16.7469879518072,-1.97911646586345,1.46803927357727e-15
